brand,parentCompany,marketType,sizeRange,garmentType,alphaSize,numericSizeMin,numericSizeMax,numericBottoms,bustMin,bustMax,waistMin,waistMax,hipMin,hipMax,dateCollected,link
J.Crew,J.Crew Group,mass market,Regular,Apparel,L,12,,,39.5,,31.5,,41.5,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,L,14,,,41,,33,,43,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,XL,16,,,43.5,,35.5,,45.5,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,XXL / 1X,18,,,46,,38,,48,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,2X,20,,,48.5,,40.5,,50.5,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,3X,22,,,51,,43,,53,,2025/02/20,
J.Crew,J.Crew Group,mass market,Regular,Apparel,3X,24,,,53.5,,45.5,,55.5,,2025/02/20,
Levi's,Levi's,mass market,Regular,Apparel,XXS,,,,30,31,24,25,33,34,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,XS,,,,32,33,26,27,35,36,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,S,,,,34,35,28,29,37,38,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,M,,,,36,37,30,31,39,40,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,L,,,,38,40,32,34,41,43,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,XL,,,,41,43,35,37,44,46,2025/02/19,
Levi's,Levi's,mass market,Regular,Apparel,XXL,,,,44,46,38,40,47,49,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,1X,14,,,42.5,,36.25,,45.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,1X,16,,,44.5,,38.25,,47.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,2XL,18,,,46.5,,40.25,,49.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,2XL,20,,,48.5,,42.25,,51.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,3XL,22,,,50.5,,44.25,,53.5,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,3XL,24,,,52.5,,46.25,,55.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,4XL,26,,,54.5,,48.25,,57.25,,2025/02/19,
Levi's,Levi's,mass market,Plus,Apparel,4XL,28,,,57.5,,51.25,,60.25,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,000,,23,,,24.25,,33,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,00,,24,,,25.25,,34,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,0,,25,,,26.25,,35,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,2,,26,,,27.25,,36,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,4,,27,,,28.25,,37,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,6,,28,,,29.25,,38,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,8,,29,,,30.25,,39,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,10,,30,,,31.25,,40,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,12,,31,,,32.75,,41.5,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,14,,32,,,34.25,,43,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,16,,33,,,35.75,,44.5,,2025/02/19,
Levi's,Levi's,mass market,Regular,Bottoms,,18,,34,,,37.75,,46.5,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,14W,,,,,37.25,,46,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,16W,,,,,39.25,,48,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,18W,,,,,41.25,,50,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,20W,,,,,43.25,,52,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,22W,,,,,45.25,,54,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,24W,,,,,47.25,,56,,2025/02/19,
Levi's,Levi's,mass market,Plus,Bottoms,,26W,,,,,49.25,,58,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,XXS,0,,,31.1,,23.2,,33.4,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,XS,2,,,32.25,,24.4,,34.6,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,S,4,,,33.4,,25.6,,35.8,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,M,6,,,35,,27.1,,37.4,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,L,8,,,36.6,,28.7,,38.9,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,XL,10,,,38.2,,30.25,,40.5,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,XXL,12,,,39.75,,31.9,,42.1,,2025/02/19,
Louis Vuitton,LVMH,luxury,Regular,Apparel,XXXL,14,,,41.7,,33.8,,44.1,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XXS,00,,,31.5,,24,,34.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XS,0,,,32.5,,25,,35.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XS,2,,,33.5,,26,,36.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,S,4,,,34.5,,27,,37.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,S,6,,,35.5,,28,,38.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,M,8,,,36.5,,29,,39.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,M,10,,,37.5,,30,,40.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,L,12,,,39,,31.5,,42,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,L,14,,,41,,33.5,,44,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XL,16,,,43.5,,36.25,,46.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XL,18,,,46,,39,,49,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,XXL,20,,,48.75,,42,,51.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,2X,20,,,48.75,,42,,51.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,2X,22,,,51,,44.25,,53.75,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,3X,24,,,53.38,,46.8,,56.125,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,3X,26,,,55.75,,49,,58.5,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,4X,28,,,58.25,,51.5,,61,,2025/02/19,
Old Navy,GAP Inc.,mass market,Regular,Apparel,4X,30,,,60.75,,54,,63,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XXS,000,,,30.5,,23.5,,33.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XXS,00,,,31.5,,24.5,,34.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XS,0,,,32.5,,25.5,,35.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XS,2,,,33.5,,26.5,,36.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,S,4,,,34.5,,27.5,,37.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,S,6,,,35.5,,28.5,,38.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,M,8,,,36.5,,29.5,,39.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,M,10,,,37.5,,30.5,,40.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,L,12,,,39,,32,,42,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,L,14,,,40.5,,33.5,,43.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XL,16,,,42.5,,35.5,,45.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XL,18,,,44.5,,37.5,,47.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XXL,20,,,46.5,,39.5,,49.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Regular,Apparel,XXL,22,,,48.5,,41.5,,51.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,1X,14W,,,42.5,,35,,44.5,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,1X,16W,,,44,,36.5,,46,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,2XL,18W,,,46,,38.5,,48,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,2XL,20W,,,48,,40.5,,50,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,3XL,22W,,,50,,42.5,,52,,2025/02/19,
Polo Ralph Lauren,Ralph Lauren,premium,Plus,Apparel,3XL,24W,,,52,,44.5,,54,,2025/02/19,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,0,,,31.65,,23.23,,33.86,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,2,,,33.23,,24.72,,35.35,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,4,,,34.65,,25.98,,36.61,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,6,,,36.22,,27.56,,38.19,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,8,,,37.8,,29.13,,39.76,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,10,,,39.37,,30.71,,41.34,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,12,,,40.94,,32.28,,42.91,,2025/02/20,
Prada,Prada Holding S.P.A.,luxury,Regular,Apparel,,14,,,42.52,,33.86,,44.49,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,0,,,33,,25,,36,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,2,,,34,,26,,37,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,4,,,35,,27,,38,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,6,,,36,,28,,39,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,8,,,37.5,,29.5,,40.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,10,,,39.5,,31.5,,42.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,12,,,41.5,,33.5,,44.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,14,,,45,,37.5,,47.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,16,,,47,,39.5,,49.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,18,,,49,,41.5,,51.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,20,,,51,,43.5,,53.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,22,,,53,,45.5,,55.5,,2025/02/20,
Reformation,Reformation,premium,Regular,Apparel,,24,,,55,,47.5,,57.5,,2025/02/20,
Shein,SHEIN,fast fashion,Regular,Apparel,XS,2,,,32.3,33.9,24.4,26,34.3,35.8,2025/02/19,
Shein,SHEIN,fast fashion,Regular,Apparel,S,4,,,33.9,35.4,26,27.6,35.8,37.4,2025/02/19,
Shein,SHEIN,fast fashion,Regular,Apparel,M,6,,,35.4,37,27.6,29.1,37.4,39,2025/02/19,
Shein,SHEIN,fast fashion,Regular,Apparel,L,8,10,,37,39.4,29.1,31.5,39,41.3,2025/02/19,
Shein,SHEIN,fast fashion,Regular,Apparel,XL,12,,,39.4,41.7,31.5,33.9,41.3,43.7,2025/02/19,
Shein,SHEIN,fast fashion,Regular,Apparel,XXL,14,,,41.7,44.1,33.9,36.2,43.7,46.1,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,0XL,12,,,39.8,42.1,33.9,36.2,43.7,46.1,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,1XL,14,,,42.1,44.5,36.2,38.6,46.1,48.4,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,2XL,16,,,44.5,46.9,38.6,40.9,48.4,50.8,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,3XL,18,,,46.9,49.2,40.9,43.3,50.8,53.1,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,4XL,20,,,49.2,51.6,43.3,45.7,53.1,55.5,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,5XL,22,,,,,44.5,48.4,53.1,57.1,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,6XL,24,26,,,,48.4,52.4,57.1,61,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,7XL,28,30,,,,52.4,56.3,61,65,2025/02/19,
Shein,SHEIN,fast fashion,Plus,Apparel,8XL,32,34,,,,56.3,60.2,65,68.9,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,XXS,000,00,,29,31,22,23,32.5,34.25,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,XS,0,2,,31,33,24,25,34.25,35.83,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,S,4,6,,33,35,26,27,35.83,37.8,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,M,8,10,,35,37,28,29,37.8,40,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,L,12,,,37,39,30,,40,42.5,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,XL,14,,,39,41,32,,42.5,44.83,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,XXL,16,,,41,43,34,,44.83,47.25,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Apparel,3XL,18,,,43,45,36,,47.25,49.25,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,21,,,21,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,22,,,22,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,23,,,23,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,24,,,24,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,25,,,25,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,26,,,26,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,27,,,27,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,28,,,28,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,29,,,29,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,30,,,30,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,31,,,31,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,32,,,32,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,33,,,33,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,34,,,34,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,36,,,36,,,,2025/02/19,
Uniqlo,Fast Retailing,fast fashion,Regular,Bottoms,,,,37,,,37,,,,2025/02/19,
